kanji_idx,z1,z2
1,0.0004129232684736497,-0.00023111214804306598
2,0.0004129232684736497,-0.00023111214804306598
3,0.0004129232684736497,-0.00023111214804306598
4,0.0004129232684736497,-0.00023111214804306598
5,0.0004129232684736497,-0.00023111214804306598
6,0.0004129232684736497,-0.00023111214804306598
7,0.0004129232684736497,-0.00023111214804306598
8,0.0004129232684736497,-0.00023111214804306598
9,0.0004129232684736497,-0.00023111214804306598
10,0.0004129232684736497,-0.00023111214804306598
11,0.0004129232684736497,-0.00023111214804306598
12,0.0004129232684736497,-0.00023111214804306598
13,0.0004129232684736497,-0.00023111214804306598
14,0.0004129232684736497,-0.00023111214804306598
15,0.0004129232684736497,-0.00023111214804306598
16,0.0004129232684736497,-0.00023111214804306598
17,0.0004129232684736497,-0.00023111214804306598
18,0.0004129232684736497,-0.00023111214804306598
19,0.0004129232684736497,-0.00023111214804306598
20,0.0004129232684736497,-0.00023111214804306598
21,0.0004129232684736497,-0.00023111214804306598
22,0.0004129232684736497,-0.00023111214804306598
23,0.0004129232684736497,-0.00023111214804306598
24,0.0004129232684736497,-0.00023111214804306598
25,0.0004129232684736497,-0.00023111214804306598
26,0.0004129232684736497,-0.00023111214804306598
27,0.0004129232684736497,-0.00023111214804306598
28,0.0004129232684736497,-0.00023111214804306598
29,0.0004129232684736497,-0.00023111214804306598
30,0.0004129232684736497,-0.00023111214804306598
31,0.0004129232684736497,-0.00023111214804306598
32,0.0004129232684736497,-0.00023111214804306598
