sweep,arch,lr,beta,latent_dim,seed,epochs_run,epochs_converged,loss_total,loss_recon,loss_kl,z_std_medio,colapsado,diverged
arquitectura,"[16, 8]",0.001,0.01,2,42,5000,4987,3.9798704594955963,2.1803413253416677,179.95291341539286,1.3398311477615212,0,0
arquitectura,"[32, 16]",0.001,0.01,2,42,5000,4877,2.1242596459863283,0.37635781120059736,174.7901834785731,1.3114279691023314,0,0
arquitectura,"[64, 32]",0.001,0.01,2,42,3246,3046,1.9908744203896314,0.27207604690204756,171.87983734875837,1.388134346314589,0,0
arquitectura,"[32, 16, 8]",0.001,0.01,2,42,3806,3606,2.476694508061826,0.7061617317685236,177.05327762933024,1.3839831413816037,0,0
arquitectura,"[64, 32, 16]",0.001,0.01,2,42,2721,2521,1.855545871740206,0.22245800094118023,163.30878707990257,1.2792130128466097,0,0
learning_rate,"[64, 32, 16]",0.1,0.01,2,42,338,138,12.965598156361555,12.965544835687199,0.00533206743566339,1.3010426069826053e-18,1,0
learning_rate,"[64, 32, 16]",0.01,0.01,2,42,994,794,1.8238344292034423,0.14019904865452473,168.36353805489173,1.384141093809049,0,0
learning_rate,"[64, 32, 16]",0.001,0.01,2,42,2721,2521,1.855545871740206,0.22245800094118023,163.30878707990257,1.2792130128466097,0,0
learning_rate,"[64, 32, 16]",0.0005,0.01,2,42,4615,4415,1.9686149894210585,0.3061415313640937,166.24734580569648,1.3094473270556528,0,0
beta,"[64, 32, 16]",0.01,0.001,2,42,992,792,0.27927863143225135,0.026417089307075432,252.86154212517593,1.7432680454275111,0,0
beta,"[64, 32, 16]",0.01,0.01,2,42,994,794,1.8238344292034423,0.14019904865452473,168.36353805489173,1.384141093809049,0,0
beta,"[64, 32, 16]",0.01,0.1,2,42,281,81,12.931320919772471,12.927572680171764,0.037482396007062935,5.421010862427522e-19,1,0
beta,"[64, 32, 16]",0.01,1.0,2,42,341,141,12.926248442861077,12.926221234531905,2.7208329171912737e-05,8.131516293641283e-20,1,0
